Column1,Z-spacing,mag-mom,max_revision,path,pw-cutoff,revision_number,variable_list,elec_energy,Column2,-31584.74427,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
41,0.5,TRUE,1,data/01-True/02-600/01-0p5/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.5}]",-31372.14635,212.5979207,,,,,,
42,0.653846154,TRUE,1,data/01-True/02-600/02-0p653846153846/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.6538461538461539}]",-31442.98903,141.755237,,,,,,
43,0.807692308,TRUE,1,data/01-True/02-600/03-0p807692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.8076923076923077}]",-31496.23225,88.51202021,,,,,,
44,0.961538462,TRUE,1,data/01-True/02-600/04-0p961538461538/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.9615384615384616}]",-31531.99873,52.74553951,,,,,,
45,1.115384615,TRUE,1,data/01-True/02-600/05-1p11538461538/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.1153846153846154}]",-31555.78945,28.95481618,,,,,,
46,1.269230769,TRUE,1,data/01-True/02-600/06-1p26923076923/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.2692307692307692}]",-31570.04151,14.70275836,,,,,,
47,1.423076923,TRUE,1,data/01-True/02-600/07-1p42307692308/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.4230769230769231}]",-31578.24658,6.497689015,,,,,,
48,1.576923077,TRUE,1,data/01-True/02-600/08-1p57692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.576923076923077}]",-31582.52186,2.222404702,,,,,,
49,1.730769231,TRUE,1,data/01-True/02-600/09-1p73076923077/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.7307692307692308}]",-31584.30457,0.439702921,,,,,,
50,1.884615385,TRUE,1,data/01-True/02-600/10-1p88461538462/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.8846153846153846}]",-31584.74427,0,,,,,,
51,2.038461538,TRUE,1,data/01-True/02-600/11-2p03846153846/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.0384615384615383}]",-31584.3232,0.421065843,,,,,,
52,2.192307692,TRUE,1,data/01-True/02-600/12-2p19230769231/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.1923076923076925}]",-31583.37024,1.374023446,,,,,,
53,2.346153846,TRUE,1,data/01-True/02-600/13-2p34615384615/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.3461538461538463}]",-31582.29981,2.4444594,,,,,,
54,2.5,TRUE,1,data/01-True/02-600/14-2p5/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.5}]",-31581.41736,3.326912577,,,,,,
55,2.653846154,TRUE,1,data/01-True/02-600/15-2p65384615385/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.653846153846154}]",-31580.82364,3.920630508,,,,,,
56,2.807692308,TRUE,1,data/01-True/02-600/16-2p80769230769/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.807692307692308}]",-31580.48822,4.25605151,,,,,,
57,2.961538462,TRUE,1,data/01-True/02-600/17-2p96153846154/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 2.9615384615384617}]",-31580.28932,4.45494789,,,,,,
58,3.115384615,TRUE,1,data/01-True/02-600/18-3p11538461538/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.1153846153846154}]",-31580.17985,4.564422082,,,,,,
59,3.269230769,TRUE,1,data/01-True/02-600/19-3p26923076923/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.269230769230769}]",-31580.19192,4.552345193,,4.552345193,,4.383648153,C,6
60,3.423076923,TRUE,1,data/01-True/02-600/20-3p42307692308/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.4230769230769234}]",-31580.28791,4.456354719,,4.456354719,,,Fe,9
61,3.576923077,TRUE,1,data/01-True/02-600/21-3p57692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.576923076923077}]",-31580.21867,4.525599939,,4.525599939,,0.730608025,,
62,3.730769231,TRUE,1,data/01-True/02-600/22-3p73076923077/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.730769230769231}]",-31580.38039,4.363873562,,4.363873562,,,,
63,3.884615385,TRUE,1,data/01-True/02-600/23-3p88461538462/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 3.884615384615385}]",-31580.26577,4.478498188,,4.478498188,,,,
65,4.192307692,TRUE,1,data/01-True/02-600/25-4p19230769231/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.1923076923076925}]",-31580.45355,4.290720991,,4.290720991,,,,
66,4.346153846,TRUE,1,data/01-True/02-600/26-4p34615384615/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.346153846153847}]",-31580.31136,4.432910206,,4.432910206,,,,
67,4.5,TRUE,1,data/01-True/02-600/27-4p5/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.5}]",-31580.47806,4.266206322,,4.266206322,,,,
68,4.653846154,TRUE,1,data/01-True/02-600/28-4p65384615385/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.653846153846154}]",-31579.06174,5.682525988,,,,,,
69,4.807692308,TRUE,1,data/01-True/02-600/29-4p80769230769/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.807692307692308}]",-31581.00744,3.73682318,,,,,,
70,4.961538462,TRUE,1,data/01-True/02-600/30-4p96153846154/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 4.961538461538462}]",-31580.32149,4.422781788,,4.422781788,,,,
74,5.576923077,TRUE,1,data/01-True/02-600/34-5p57692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 5.5769230769230775}]",-31580.32408,4.420191877,,4.420191877,,,,
76,5.884615385,TRUE,1,data/01-True/02-600/36-5p88461538462/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 5.884615384615385}]",-31580.46879,4.275481255,,4.275481255,,,,
77,6.038461538,TRUE,1,data/01-True/02-600/37-6p03846153846/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 6.038461538461538}]",-31580.5707,4.17356523,,4.17356523,,,,
78,6.192307692,TRUE,1,data/01-True/02-600/38-6p19230769231/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 6.1923076923076925}]",-31580.46545,4.278813901,,4.278813901,,,,
79,6.346153846,TRUE,1,data/01-True/02-600/39-6p34615384615/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 6.346153846153847}]",-31581.00373,3.74054182,,,,,,
80,6.5,TRUE,1,data/01-True/02-600/40-6p5/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 6.5}]",-31580.31054,4.43373097,,4.43373097,,,,
